Model,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.04103967168262654,0.9183673469387755,0.07856831078131819,0.9748307454664477
Random Forest,0.9473684210526315,0.7346938775510204,0.8275862068965517,0.9478244906572646
